Latitude,Longitude
-14.09,-46.37
-13.34,-44.64
66.53,66.6
49.95,17.92
50.04,18.47
50.48,17.97
49.56,18.17
49.63,17.99
49.54,18.39
49.94,18.31
49.8,18.4
49.98,17.87
50.48,17.96
49.92,17.84
49.55,18.15
49.83,18
49.62,18.27
49.73,18.19
49.75,17.74
49.8,17.55
49.77,17.75
49.94,17.9
50.5,18
57.5,18.5
57.5,18.5
49.58,18.37
50.15,17.83
50.06,17.81
50.05,17.79
50.29,18.17
50.35,18.25
50.35,18.23
50.09,18.27
50.09,18.22
50.09,18.22
49.99,18.43
50,18.44
50,18.47
50.45,17.96
50.42,18.11
50.42,18.12
50.48,17.98
50.2,18.31
50.05,18.46
50.07,18.42
50.41,17.74
50.31,17.57
50.32,17.57
50.08,18.01
50.08,18
50.06,18.42
50.06,18.42
49.98,18.27
49.98,18.27
50.46,17.85
50.46,17.86
50.49,18.02
50.49,18.02
50.17,18.1
49.83,18.28
49.92,18.34
49.55,17.73
49.59,18.01
49.66,17.83
49.67,18.33
49.65,18.15
49.81,18.13
49.81,18.3
49.97,17.6
49.59,18.36
49.93,18
49.83,18.19
49.54,17.95
49.53,17.9
49.78,18.17
49.94,18.35
49.76,18.21
49.94,17.95
49.88,17.98
49.9,18.38
49.9,17.99
49.7,18.1
18.25,18.5
57.63,18.32
49.85,18.43
50.09,17.7
49.6,18.14
49.78,18.44
49.68,18.35
49.9,18.36
50.05,18.48
57.64,18.3
50.03,17.59
49.95,18.19
49.82,18.13
49.77,18.31
49.58,17.95
49.54,18.11
49.94,17.97
49.97,17.73
49.86,18.09
49.76,18.37
49.52,18.24
49.57,18.22
49.69,18.33
49.72,18.08
49.59,18.12
49.91,18.01
49.96,18.04
49.94,17.81
49.58,17.96
49.69,18.27
49.67,18.36
49.93,18.27
49.79,18.38
49.66,18.09
49.72,18.37
49.87,18.38
49.6,18.08
49.73,18.32
49.62,18.47
49.85,18
49.64,18.14
49.61,18.49
49.64,17.65
49.98,18.19
49.83,18.39
49.71,18.16
49.73,18.29
49.63,18.32
49.92,17.87
50.28,17.72
49.51,17.53
49.99,17.96
49.54,18.06
49.9,18.03
49.61,18.34
49.72,17.52
50.16,17.57
49.91,18.24
49.89,18.24
49.53,17.59
50.01,17.63
49.52,17.93
49.55,18.26
49.73,18.24
49.91,18.16
49.59,18.26
49.99,18.05
49.79,18.13
49.75,18.13
50.25,17.52
49.61,17.91
49.62,18.41
49.92,17.68
49.53,17.87
49.62,18.22
49.87,17.88
49.88,18.05
49.75,18.48
49.8,18.48
49.75,18.44
50,17.81
49.54,18.02
50,18.01
49.9,18.19
49.95,18.24
49.9,18.1
49.71,17.9
49.67,18.22
49.55,18.21
49.83,17.55
49.86,18.48
49.9,17.78
49.55,17.54
49.9,18.43
49.84,18.09
49.92,18.11
49.66,18.49
49.67,18.41
49.89,18.46
49.94,18.22
49.99,18.12
49.96,17.97
49.55,18.34
49.8,17.63
49.7,18.22
50.02,17.75
49.79,17.87
50.06,17.63
49.95,18.08
49.94,18.13
49.76,18.02
49.59,17.81
49.65,18.37
49.67,18.05
49.72,18.45
50.1,18.5
50.34,18.1
50.37,18
50.39,18.35
50.01,18.24
50.34,17.99
49.97,18.44
50.02,18.35
50.09,18.45
50.37,18.32
49.95,18.49
50.35,18.41
50.19,18.45
50.13,18.19
50.43,18.1
49.99,18.35
50.32,18.13
50.4,18.18
50.12,18.3
50.31,17.78
50.04,18.39
50.23,18.13
50.07,18.3
50.08,18.09
50.25,18.05
49.95,18.34
50.07,18.5
50.16,18.31
50.12,18.39
50.34,17.63
50.04,18.31
50.43,18.19
49.94,18.45
50.31,17.53
50.02,18.12
50.34,18.14
50.07,18.33
50.49,17.6
50.11,18.47
50.39,18.14
49.95,18.4
49.96,18.4
49.92,18.48
50.2,17.83
50.35,17.86
50.11,18.43
50.24,18.29
50.28,18.15
49.98,18.4
50.08,18.4
50.28,18.2
49.93,18.32
50.01,18.16
50.28,18.24
50.39,17.66
49.98,18.36
50.16,17.99
57.6,18.25
-20.48,-55.81
-20.24,-56.38
-20.47,-55.79
-4.28,-55.98
-24.25,-56.5
-24.08,-55.5
32.89,0.55
8.6,1.08
45.17,0.58
44.92,1.08
41.15,1.21
41.08,1.19
8.57,0.98
41.29,1.24
41.12,1.27
33.1,1.26
40.6,0.64
41.09,1.15
8.67,1
41.34,0.95
40.83,0.69
41.03,0.63
44.9,1.47
41.13,1.25
41.29,1.25
44.58,1
45.17,0.83
44.9,1.48
45.19,0.66
45.18,0.67
41.08,1.05
45.18,0.72
44.79,1.11
44.79,1.11
41.07,1.05
41.21,1.13
41.2,1.11
45.07,0.56
44.73,1.2
45.18,0.72
45.32,1.17
45.33,1.16
44.87,1.25
45.12,0.57
45.09,0.69
45.22,0.73
45.22,0.73
45.17,0.77
45.12,0.75
45.16,0.7
45.2,0.78
45.2,0.79
44.84,0.98
44.55,0.95
44.54,0.95
44.63,0.53
44.63,0.54
45.27,1.42
45.26,1.41
44.78,1
44.78,1.01
45.13,0.61
44.81,0.63
44.81,0.63
44.7,0.58
45.12,1.28
44.77,1.08
44.77,1.08
44.89,1.22
44.89,1.22
45.49,1.06
45.49,1.06
44.98,0.81
45.45,1.12
45.45,1.12
45.1,1.17
44.92,0.72
44.92,0.71
44.67,0.83
44.65,0.68
44.66,0.68
44.83,1.25
44.83,1.25
45.38,1.15
44.88,1.43
44.87,1.43
44.68,0.73
45.37,0.65
45.36,0.65
44.84,1.03
44.84,1.03
45.18,0.82
45.19,0.82
45.2,0.67
45.2,0.67
45.45,1.06
44.69,1.01
44.8,1.21
44.8,1.21
44.55,0.53
44.55,0.54
45.22,1.12
45.21,1.12
45.17,0.53
44.79,0.89
44.9,0.87
44.91,0.86
44.64,0.82
44.64,0.82
44.68,0.92
44.68,0.92
45.05,0.65
45.07,0.63
45.13,1.07
45.14,1.07
44.85,0.87
44.85,0.87
45.23,1.2
45.23,1.2
45.15,1.22
45.15,1.23
44.68,0.63
44.69,0.64
45.22,0.93
45.22,0.94
44.6,0.9
44.6,0.89
44.83,0.9
44.94,0.94
45.32,1.18
45.31,1.2
45.1,0.94
45.28,1.43
45.29,1.44
45.18,0.56
45.18,0.55
45.28,1.17
45.29,1.18
44.87,1.04
44.87,1.04
45.15,1.15
45.15,1.15
44.51,0.6
44.7,0.76
44.61,1.01
45.16,0.99
45.28,1.12
45.29,1.12
44.68,1.02
45.15,0.75
45.14,0.75
45.35,0.87
45.34,0.87
45.37,1.05
45.37,1.05
45.48,0.63
45.48,0.64
45.27,1.07
45.27,1.06
45.11,0.72
44.82,0.93
44.65,0.76
45.03,0.66
44.9,0.65
44.9,0.65
44.51,0.83
44.51,0.83
44.65,0.6
44.65,0.59
44.9,0.72
44.9,0.72
45.12,1.37
45.12,1.38
44.8,0.78
44.72,0.85
44.92,0.93
44.92,0.93
45.22,0.57
45.23,0.56
45.22,0.83
45.21,0.83
44.82,0.98
44.82,0.99
44.62,0.62
44.8,1.2
44.8,1.21
44.63,1.08
44.63,1.08
44.88,0.83
44.68,0.78
44.65,0.78
45.1,0.78
45.1,0.78
44.53,0.77
44.53,0.77
44.85,0.6
44.86,0.6
44.65,0.53
44.66,0.53
45,0.78
44.58,0.9
45.18,0.9
45.18,0.91
44.67,1.32
44.66,1.32
45.07,0.87
45.06,0.86
44.63,0.77
44.63,0.77
45.25,0.68
45.25,0.69
45.42,0.83
45.42,0.84
45.03,1.05
45.03,1.04
44.8,0.73
44.8,0.73
45.08,1.27
45.09,1.27
44.58,0.62
45.4,1.08
45.4,1.08
44.85,0.91
44.85,0.92
44.94,1.01
44.94,1.01
45.47,0.73
45.47,0.73
44.58,0.82
44.58,0.81
44.8,1.47
44.8,1.47
44.82,0.68
45.28,0.75
45.29,0.75
45.3,0.87
45.31,0.87
44.92,0.82
44.92,0.82
44.76,1.28
45.01,0.56
44.78,1.18
44.79,1.17
44.83,1.04
44.83,1.04
45,0.92
44.99,0.92
44.5,1.01
45.08,0.62
45.09,0.63
44.97,0.93
44.97,0.94
44.6,0.97
44.6,0.97
45.11,0.5
45.19,0.86
45.08,0.75
45.08,0.73
45.07,0.76
45.08,0.58
45.32,0.6
45.32,0.59
45.26,1.15
45.26,1.15
44.83,1.1
44.83,1.1
44.56,0.68
44.91,1.29
44.92,1.25
44.85,0.8
44.84,0.79
44.69,1.02
44.67,1.01
45.25,0.88
45.24,0.9
44.77,0.82
44.78,0.82
44.83,1.32
44.83,1.32
45.35,0.53
45.35,0.54
44.95,1.38
44.95,1.38
45.15,0.95
45.14,0.94
45.37,1.22
45.36,1.22
45.4,0.66
44.95,0.65
44.95,0.64
44.85,0.65
44.84,0.65
44.78,1.07
44.78,1.07
44.98,0.68
44.98,0.68
45.4,0.7
45.4,0.7
45,0.83
45,0.82
44.9,1.33
44.9,1.33
44.9,0.57
44.87,0.66
44.98,1.08
44.98,1.08
45.16,0.86
45,1.1
45,1.11
45.13,0.98
45.13,0.99
44.83,1.18
44.83,1.18
44.9,1.04
45.03,0.52
45.03,0.51
45.38,1
45.39,1.01
45.17,1.15
