Weather,City Name,City ID
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",Tonantins,3661894
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",Santo Antônio do Içá,3662395
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Departamento de San Pedro,3437027
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Ygatimi,3436616
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Arrondissement de Narbonne,2990918
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Perpignan,6440996
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Alibori Department,2597271
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Kandi,2393693
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Arrondissement de Perpignan,2987913
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Dar Chioukh,2500904
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Charef,2501767
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Aïn Oussera,2507972
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Béziers,6455063
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Agde,6424473
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Trouillas,6441052
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Pézilla-la-Rivière,6440999
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Narbonne,6453642
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Narbonne,2990919
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Trouillas,2971568
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Port-la-Nouvelle,6426776
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Ferrals-les-Corbières,6614944
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Ferrals-les-Corbières,3018671
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Douzens,6426657
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Douzens,3020875
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Djelfa,2500017
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Perpignan,2987914
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Cabestany,6450510
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Cabestany,3029302
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Ille-sur-Têt,6450557
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Ille-sur-Têt,3012848
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Lézignan-Corbières,6426723
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Lézignan-Corbières,2998644
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Cyprien,6454541
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Cyprien,2980984
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Estagel,6450543
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Estagel,3019584
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Hassi Bahbah,2494073
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Guida,2393923
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Portiragnes,6432591
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Portiragnes,2985972
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Peyrestortes,6440997
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Peyrestortes,2987500
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Béziers,3032833
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Agde,3038638
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Vinça,6441063
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Vinça,2968062
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Vinassan,6426926
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Vinassan,2968066
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Villeneuve-lès-Béziers,6432687
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Villeneuve les beziers,2968544
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Villeneuve-la-Rivière,6441062
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Villeneuve-la-Rivière,2968549
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Villeneuve-de-la-Raho,6441061
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Villeneuve-de-la-Raho,2968571
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Villemolaque,6441060
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Villemolaque,2968654
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Villelongue-dels-Monts,6614551
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Vilallonga dels Monts,2968690
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Villelongue-de-la-Salanque,6441059
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Villelongue-de-la-Salanque,2968691
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Vias,6432684
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Vias,2969421
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Vendres,6454040
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Vendres,2970104
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Valros,6432678
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Valros,2970837
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Valras-Plage,6432677
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Valras-Plage,2970839
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Tourbes,6432669
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Tourbes,2972288
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Toulouges,6441048
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Toulouges,2972317
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Torreilles,6441047
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Torreilles,2972412
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Thuir,6441045
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Thuir,2972665
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Thézan-lès-Béziers,6614352
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Thézan-lès-Béziers,2972904
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Théza,6441044
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Théza,2972908
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Sorède,6614578
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Sorède,2974203
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Sigean,6426873
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Sigean,2974591
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Servian,6432660
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Servian,2974775
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Sérignan,6432659
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Sérignan,2974925
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Sauvian,6432658
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Sauvian,2975649
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saleilles,6441032
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saleilles,2976481
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Salses-le-Château,6617403
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Salses-le-Château,2976489
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Thibéry,6432652
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Thibéry,2976777
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Pons-de-Thomières,6616595
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Pons-de-Thomières,2977382
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Paul-de-Fenouillet,2977683
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Nazaire,6617402
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Nazaire,2977926
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Marcel-sur-Aude,6615856
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Marcel-sur-Aude,2978596
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Laurent-de-la-Salanque,6441026
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Laurent-de-la-Salanque,2978925
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Saint-Jean-Pla-de-Corts,6614491
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Sant Joan de Pladecorts,2979205
