Weather,City Name,City ID
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Gamarra,3682182
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Cuenca,2519034
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",English,4257173
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Enney,2660890
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Heinzenhausen,2907175
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Branzi,6535774
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Rota,6356945
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Falkenberg,2715573
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",Jennings,2162367
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",Tebag East,1682559
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Ascheffel,2955222
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",Insiza,889795
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Torrecilla de la Jara,6361830
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Trofaiach,7873488
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Boituva,6322144
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Talsarnau,7298011
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Frei Paulo,3462944
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Mount Horeb,5263667
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Drăguşeni,678883
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Talais,2973513
"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}]",Vieux Lyon,8015556
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Jonkowo,770025
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Butzow,6548252
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",Asínou,146778
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",Wolvi,2143225
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",San Marcos,3601899
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Gestalgar,6361998
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",Aziatskaya,580084
